Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,t
ABL1,,1,0,0,0,0,0,NA
ABL2,,1,0,0,0,0,0,NA
ACADM,,1,0,0,0,0,0,2.01790777607243
ACADVL,,1,0,0,0,0,0,-0.665671869866058
ACOX1,,1,0,0,0,0,0,0.884204184287901
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
ACVR1,,1,0,0,0,0,0,NA
ADA,,1,0,0,0,0,0,-3.71513245171552
ADH1A,,1,0,0,0,0,0,NA
ADH1B,P,0,0,1,-1,1,-1,-7.85491421934974
ADH4,P,0,0,1,-1,1,-1,-7.85491421934974
AHR,,1,0,0,0,0,0,NA
AKT1,,1,0,0,0,0,0,-2.95493992454823
ALDH1A2,,1,0,0,0,0,0,0.32363334703697
ALDH1A3,,0,0,1,-1,0,-1,2.90573664753029
ALDH9A1,,1,0,0,0,0,0,-0.57321434337613
ALK,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
ANPEP,,1,0,0,0,0,0,0.673223265931642
APC,,1,0,0,0,0,0,NA
APEX1,,1,0,0,0,0,0,5.13041541027257
AQP9,,1,0,0,0,0,0,NA
AR,,1,0,0,0,0,0,NA
ARMC10,,1,0,0,0,0,0,-2.61451543779607
ARNT,,1,0,0,0,0,0,NA
ARNT_HIF1A,,1,0,0,0,0,0,NA
ATF4,,1,0,0,0,0,0,NA
ATM,,1,0,0,0,0,0,1.23818144501604
ATR,,1,0,0,0,0,0,NA
AURKA,,1,0,0,0,0,0,NA
AURKB,,1,0,0,0,0,0,NA
AXIN1,,1,0,0,0,0,0,NA
AXIN2,,1,0,0,0,0,0,NA
BAD,,1,0,0,0,0,0,NA
BCL2,,1,0,0,0,0,0,NA
BCL2L1,,1,0,0,0,0,0,NA
BCL6,,1,0,0,0,0,0,NA
BLM,,1,0,0,0,0,0,NA
BRCA1,,1,0,0,0,0,0,NA
BRD4,,1,0,0,0,0,0,NA
BSG,,1,0,0,0,0,0,5.45252744252291
BUB1,,1,0,0,0,0,0,NA
CALR,,1,0,0,0,0,0,2.66596273734168
CAMK1,,1,0,0,0,0,0,NA
CAMK1D,,1,0,0,0,0,0,0.116692729474733
CAMK1G,,1,0,0,0,0,0,NA
CAMK2A,,1,0,0,0,0,0,-0.875156522062835
CAMK2B,,1,0,0,0,0,0,NA
CAMK2D,,1,0,0,0,0,0,-0.875156522062835
CAMK2G,,1,0,0,0,0,0,-3.07628179084649
CAMK4,,1,0,0,0,0,0,NA
CASP3,,1,0,0,0,0,0,1.17810482670161
CASP8,,1,0,0,0,0,0,1.49543021295787
CAV1,P,0,0,1,-1,1,-1,-12.5962878490496
CBS,,1,0,0,0,0,0,NA
CBS,,1,0,0,0,0,0,NA
CCNA2,,1,0,0,0,0,0,NA
CCNA2_CDK2,,1,0,0,0,0,0,NA
CCNB1_CDK1,,1,0,0,0,0,0,NA
CD40LG,,1,0,0,0,0,0,NA
CDC42,,1,0,0,0,0,0,-3.18689849912398
CDC7,,1,0,0,0,0,0,NA
CDK1,,1,0,0,0,0,0,NA
CDK2,,1,0,0,0,0,0,NA
CDK4,,1,0,0,0,0,0,NA
CDK5,,1,0,0,0,0,0,2.63592148492415
CDK5_CDK5R1,,1,0,0,0,0,0,NA
CDK7,,1,0,0,0,0,0,NA
CDK9,,1,0,0,0,0,0,NA
CDKN2A,,1,0,0,0,0,0,NA
CDKN2AIP,,1,0,0,0,0,0,2.10951714976547
CDR2,,1,0,0,0,0,0,NA
CDS1,,1,0,0,0,0,0,NA
CEBPA,,1,0,0,0,0,0,NA
CEBPB,,1,0,0,0,0,0,NA
CEBPE,,1,0,0,0,0,0,NA
CHEK1,,1,0,0,0,0,0,NA
