Node1,Sign,Node2,Weight
ALDH1A3,1,Enzyme3860__ALDH1A3,1
ALDH1A3,1,Enzyme963__ALDH1A3,1
CTCF,-1,ALDH1A3,1
Enzyme125000002__SLC38A2,1,Metab__L-Proline_c,1
Enzyme1671__SLC25A10_TRANSPORTER1,1,Metab__Butanedioic acid_m,0.16666666666666663
Enzyme167200002__SLC25A10,1,Metab__Butanedioic acid_m,0.16666666666666663
Enzyme220600002__SLC25A1,1,Metab__Butanedioic acid_m,0.16666666666666663
Enzyme3860__ALDH1A3,1,Metab__L-Lactic acid_c,1
Enzyme576000002__SLC38A2,1,Metab__L-Cysteine_c,1
Enzyme617500001__SLC25A1,1,Metab__Butanedioic acid_m,0.16666666666666663
Enzyme8423__P4HA1,1,Metab__Butanedioic acid_c,0.5
Enzyme8423__P4HA2,1,Metab__Butanedioic acid_c,0.5
Enzyme9124__SLC22A2,1,Metab__Histamine_c,1
Enzyme918200002__SLC16A1,1,Metab__L-Lactic acid_m,0.5
Enzyme955900002__SLC25A10,1,Metab__Butanedioic acid_m,0.16666666666666663
Enzyme963__ALDH1A3,1,Metab__D-Lactic acid_c,1
Enzyme981__AQP9,1,Metab__L-Lactic acid_m,0.5
Enzyme9813__SLC25A10_TRANSPORTER1,1,Metab__Butanedioic acid_m,0.16666666666666663
HDLBP,1,CTCF,1
HNRNPK,1,TP53,1
Metab__L-Proline_c,1,Enzyme8423__P4HA1,0.5
Metab__L-Proline_c,1,Enzyme8423__P4HA2,0.5
Metab__L-Lactic acid_c,1,Enzyme918200002__SLC16A1,0.5
Metab__L-Lactic acid_c,1,Enzyme981__AQP9,0.5
Metab__Butanedioic acid_c,1,Enzyme1671__SLC25A10_TRANSPORTER1,0.16666666666666663
Metab__Butanedioic acid_c,1,Enzyme167200002__SLC25A10,0.16666666666666663
Metab__Butanedioic acid_c,1,Enzyme220600002__SLC25A1,0.16666666666666663
Metab__Butanedioic acid_c,1,Enzyme617500001__SLC25A1,0.16666666666666663
Metab__Butanedioic acid_c,1,Enzyme955900002__SLC25A10,0.16666666666666663
Metab__Butanedioic acid_c,1,Enzyme9813__SLC25A10_TRANSPORTER1,0.16666666666666663
PARP1,1,TP53,1
PRKDC,1,TP53,1
PRKDC,1,USF1,1
SLC22A2,1,Enzyme9124__SLC22A2,1
SLC38A2,1,Enzyme125000002__SLC38A2,1
SLC38A2,1,Enzyme576000002__SLC38A2,1
TP53,-1,SLC38A2,1
USF1,1,P4HA1,1
USF1,1,SLC22A2,1
ABL1,1,PRKD1,1
ABL1,1,TOP1,1
ABL2,1,CAT,1
CALM3,1,CAMK2D,0.625
CALM3,1,CAMK2G,0.375
CALM3,1,CAMK4,1
CAMK2D,1,PRKACA,0.625
CAMK2G,1,PRKACA,0.375
CAMK4,1,HNRNPL,1
CAPN2,-1,TLN1,1
CAPN2,-1,TNS1,1
CAPN2,1,GSK3B,1
CASP2,-1,GOLGA3,1
CASP2,1,CASP7,0.75
CASP3,-1,PSIP1,1
CASP3,-1,SPTAN1,1
CASP3,1,CAD,1
CASP3,1,PRKDC,1
CASP3,1,SRP72,1
CASP3,1,TOP1,1
CASP7,-1,PARP1,0.75
CCP110,1,CALM3,1
CD36,1,Enzyme4219__CD36,1
CDK1,1,ABL1,1
CDK1,1,CSNK2A1,1
CDK1,1,EEF1D,1
CDK1,1,NUP210,1
CDK1,1,OSBP2,1
CDK1,1,RCC1,1
CDK1,1,RUNX1,0.125
CDK2,-1,CCP110,1
CDK2,-1,LIG3,1
CDK2,-1,RUNX1,0.125
CDK4,-1,MEF2D,1
CDK4,1,EIF4A3,1
CDK4,1,HNRNPK,1
CDK4,1,SF3B1,1
CHEK2,-1,RASGRF1,0.625
CHKA,-1,PLIN3,1
COL2A1,1,ITGA1,1
CSK,1,FYN,1
CSNK1A1L,1,GLI2,0.75
CSNK2A1,-1,CASP2,1
CSNK2A1,-1,SPTBN1,1
CSNK2A1,1,HNRNPK,1
CSNK2A1,1,LEF1,0.75
CSNK2A1,1,PACS1,1
CSNK2A1,1,PIAS1,1
CSNK2A1,1,RBM17,1
CSNK2A1,1,TCF7L2,0.25
CSNK2A1,1,TCOF1,1
CTSG,-1,SERPIND1,0.125
EEF1D,1,EEF1G,1
EIF2AK4,-1,EIF2A,1
ELANE,-1,SERPIND1,0.875
EP300,1,HIF1A,0.25
EP300,1,MYB,0.125
EP300,1,PARP1,0.25
FYN,1,CAV1,1
FYN,1,PRKCA,1
FYN,1,PRKCQ,1
Enzyme4219__CD36,1,Metab__Butanoic acid_c,1
GLI2,-1,LUM,1
GRM5,1,GNAQ,1
GSK3B,1,H1_5,1
GSK3B,1,OSBP2,1
HIF1A,1,ALDOA,1
HIF1A,1,SOCS1,0.25
HNF4A,1,ALDOB,1
HNF4A,1,MYC,0.375
HNRNPA1,1,TRA2B,1
IRAK1,1,GLIPR2,1
ITGA1,1,CSK,1
LEF1,1,ELANE,0.75
LEF1,1,MMP7,0.75
LEF1,1,MYC,0.375
MAPK3,-1,ARRB1,1
MAPK3,1,BAZ1B,1
MAPK3,1,CAD,1
MAPK3,1,CAPN2,1
MAPK3,1,EP300,0.25
MAPK3,1,HIF1A,1
MAPK3,1,MYC,0.375
MAPK8,-1,AIMP1,1
MAPK8,1,MAPK8IP1,0.375
MAPK8,1,PKMYT1,0.25
MAPK8,1,SRC,1
MAPK8,1,STAT1,1
MAPK8IP1,1,RASGRF1,0.375
MEF2D,1,DES,1
MEF2D,1,MYH10,1
Metab__Butanoic acid_c,-1,CDK2,1
Metab__Butanoic acid_c,1,CASP3,1
Metab__Linoleic acid_c,1,CD36,1
Metab__Linoleic acid_c,1,HMGCS2,1
Metab__Histamine_c,1,MAPK3,1
MMP7,-1,DCN,1
MYB,1,CTSG,0.125
MYC,1,CAD,0.375
MYC,1,CDK4,0.375
MYC,1,DDX18,0.375
MYC,1,HNRNPA1,0.375
MYC,1,HSPD1,0.375
MYC,1,NOP56,0.375
MYC,1,RCC1,0.375
MYC,1,RPL10,0.375
MYC,1,RPL23,0.375
MYC,1,SHMT2,0.375
MYD88,1,IRAK1,0.75
PARP1,1,HIF1A,1
PIAS1,-1,FHL1,1
PIN1,-1,CDK1,0.75
PKMYT1,-1,CDK1,0.25
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,HNF4A,1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,CHKA,1
