Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,t
ABL1,,1,0,0,0,0,0,NA
ABL2,,1,0,0,0,0,0,NA
ACADL,,1,0,0,0,0,0,-3.48410098517618
ACADM,,1,0,0,0,0,0,2.01790777607243
ACADVL,,1,0,0,0,0,0,-0.665671869866058
ACHE,,1,0,0,0,0,0,NA
ACOX1,,1,0,0,0,0,0,0.884204184287901
ACSL1,,1,0,0,0,0,0,-3.93662146894457
ACSL3,,1,0,0,0,0,0,0.387004693302885
ACSL4,,1,0,0,0,0,0,-0.217836007894096
ACSL5,,1,0,0,0,0,0,3.10171318788927
ACSL6,,1,0,0,0,0,0,3.10171318788927
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
ACVR1,,1,0,0,0,0,0,NA
ADA,,1,0,0,0,0,0,-3.71513245171552
ADAM17,,1,0,0,0,0,0,NA
ADCY1,,1,0,0,0,0,0,NA
ADH1A,,1,0,0,0,0,0,NA
ADH1B,P,0,0,1,-1,1,-1,-7.85491421934974
ADH4,P,0,0,1,-1,1,-1,-7.85491421934974
ADIPOQ,,1,0,0,0,0,0,NA
ADM,,1,0,0,0,0,0,NA
ADRA1D,,1,0,0,0,0,0,NA
AFP,,1,0,0,0,0,0,NA
AHR,,1,0,0,0,0,0,NA
AICDA,,1,0,0,0,0,0,NA
AKT1,,1,0,0,0,0,0,-2.95493992454823
AKT2,,1,0,0,0,0,0,1.22859225085675
AKT3,,1,0,0,0,0,0,-2.95493992454823
ALAS1,,1,0,0,0,0,0,NA
ALAS2,,1,0,0,0,0,0,NA
ALDH1A2,,1,0,0,0,0,0,0.32363334703697
ALDH1A3,,1,0,0,0,0,0,2.90573664753029
ALDH9A1,,0,0,1,-1,0,-1,-0.57321434337613
ALK,,1,0,0,0,0,0,NA
ALPK1,,1,0,0,0,0,0,NA
ALPP,,1,0,0,0,0,0,NA
AMH,,1,0,0,0,0,0,NA
ANGPT1,,1,0,0,0,0,0,NA
ANGPT2,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
ANPEP,,1,0,0,0,0,0,0.673223265931642
ANXA2,,1,0,0,0,0,0,-4.72133194156379
AOC3,P,0,0,1,-1,1,-1,-7.14384926370699
AP1S2,,1,0,0,0,0,0,-2.76471820935809
APC,,1,0,0,0,0,0,NA
APEX1,,1,0,0,0,0,0,5.13041541027257
AQP9,,1,0,0,0,0,0,NA
AR,,1,0,0,0,0,0,NA
ARAF,,1,0,0,0,0,0,2.74127582934557
AREG,,1,0,0,0,0,0,NA
ARG1,,0,0,1,-1,0,-1,-1.19936419133234
ARHGAP1,,1,0,0,0,0,0,3.44402142439457
ARHGDIB,,1,0,0,0,0,0,-2.54695971971757
ARHGEF7,,1,0,0,0,0,0,-0.750318129496261
ARMC10,,1,0,0,0,0,0,-2.61451543779607
ARNT,,1,0,0,0,0,0,NA
ARNT_HIF1A,,1,0,0,0,0,0,NA
ARRB1,P,0,0,1,-1,1,-1,-6.59475878114749
ASAP1,,1,0,0,0,0,0,NA
ASF1A,,1,0,0,0,0,0,NA
ASPN,,1,0,0,0,0,0,-3.56790983789885
ASXL1,,1,0,0,0,0,0,NA
ATF1,,1,0,0,0,0,0,NA
ATF2,,1,0,0,0,0,0,NA
ATF3,,1,0,0,0,0,0,NA
ATF4,,1,0,0,0,0,0,NA
ATM,,1,0,0,0,0,0,1.23818144501604
ATP2C1,,1,0,0,0,0,0,1.77482874970483
ATR,,1,0,0,0,0,0,NA
ATXN3,,1,0,0,0,0,0,NA
AURKA,,1,0,0,0,0,0,NA
AURKB,,1,0,0,0,0,0,NA
AVP,,1,0,0,0,0,0,NA
AXIN1,,1,0,0,0,0,0,NA
AXIN2,,1,0,0,0,0,0,NA
