Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,logFC_z
5HPET_c,,1,0,0,0,0,0,NA
A1BG,,1,0,0,0,0,0,-0.03281134906712013
A2M,,1,0,0,0,0,0,NA
AAAS,,1,0,0,0,0,0,NA
AANAT,,1,0,0,0,0,0,NA
AATF,,1,0,0,0,0,0,NA
ABCA1,,1,0,0,0,0,0,NA
ABCC8,,1,0,0,0,0,0,NA
ABI1,M,0,1,0,1,1,1,1.4538129258756385
ABI1_BRK1_CYFIP1_NCKAP1_WASF1,,1,0,0,0,0,0,NA
ABI1_BRK1_CYFIP1_NCKAP1_WASF2,,1,0,0,0,0,0,NA
ABI1_BRK1_CYFIP1_NCKAP1_WASF3,,1,0,0,0,0,0,NA
ABI1_BRK1_CYFIP2_NCKAP1_WASF1,,1,0,0,0,0,0,NA
ABI1_BRK1_CYFIP2_NCKAP1_WASF2,,1,0,0,0,0,0,NA
ABI1_BRK1_CYFIP2_NCKAP1_WASF3,,1,0,0,0,0,0,NA
ABI1_WASF2,,1,0,0,0,0,0,NA
ABI2,M,1,0,0,0,1,0,1.4538129258756385
ABL1,,1,0,0,0,0,0,NA
ABL2,,1,0,0,0,0,0,NA
ABRAXAS1,,1,0,0,0,0,0,NA
ACAN,,1,0,0,0,0,0,NA
ACAP1,,1,0,0,0,0,0,NA
ACAP2,,1,0,0,0,0,0,NA
ACAT1,,1,0,0,0,0,0,-0.09277559951529424
ACE,,1,0,0,0,0,0,NA
ACE2,,1,0,0,0,0,0,NA
ACHE,,1,0,0,0,0,0,NA
ACKR3,,1,0,0,0,0,0,NA
ACLY,M,0,0,1,-1,1,-1,-1.4271011384649235
ACOT7,,1,0,0,0,0,0,NA
ACOX1,,1,0,0,0,0,0,NA
ACP1,,1,0,0,0,0,0,NA
ACSS2,,1,0,0,0,0,0,NA
ACTA1,,1,0,0,0,0,0,0.5617351314440895
ACTB,,1,0,0,0,0,0,1.2571167462448591
ACTG1,,1,0,0,0,0,0,NA
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
ACTN1,,1,0,0,0,0,0,0.3600141511968303
ACTN2,,1,0,0,0,0,0,NA
ACTN3,,1,0,0,0,0,0,NA
ACTN4,,1,0,0,0,0,0,0.3981799853452934
ACTR2,M,0,1,0,1,1,1,1.5087369059987652
ACTR2_ACTR3_ARPC1A_ARPC1B_ARPC2_ARPC3_ARPC4_ARPC5_ARPC5L,,1,0,0,0,0,0,NA
ACVR1,,1,0,0,0,0,0,NA
ACVR1B,,1,0,0,0,0,0,NA
ACVR1C,,1,0,0,0,0,0,NA
ACVR2A,,1,0,0,0,0,0,NA
ACVR2B,,1,0,0,0,0,0,NA
ACVRL1,,1,0,0,0,0,0,NA
ADA,,1,0,0,0,0,0,NA
ADAM10,,1,0,0,0,0,0,-0.521559655504828
ADAM12,,1,0,0,0,0,0,NA
ADAM15,,1,0,0,0,0,0,NA
ADAM17,,1,0,0,0,0,0,NA
ADAM9,,1,0,0,0,0,0,NA
ADAMTS13,,1,0,0,0,0,0,NA
ADAMTS4,,1,0,0,0,0,0,NA
ADAR,,1,0,0,0,0,0,-0.396899521935849
ADCY1,,1,0,0,0,0,0,NA
ADCY2,,1,0,0,0,0,0,NA
ADCY3,,1,0,0,0,0,0,NA
ADCY4,,1,0,0,0,0,0,NA
ADCY5,,1,0,0,0,0,0,NA
ADCY6,,1,0,0,0,0,0,NA
ADCY7,,1,0,0,0,0,0,NA
ADCY8,,1,0,0,0,0,0,NA
ADCY9,,1,0,0,0,0,0,NA
ADGRG1,,1,0,0,0,0,0,NA
ADH1A,,1,0,0,0,0,0,NA
ADH1B,,1,0,0,0,0,0,0.41921282993310727
ADIPOQ,,1,0,0,0,0,0,NA
ADIPOR1,,1,0,0,0,0,0,NA
ADIPOR2,,1,0,0,0,0,0,NA
ADM,,1,0,0,0,0,0,NA
ADORA1,,1,0,0,0,0,0,NA
ADORA2A,,1,0,0,0,0,0,NA
ADORA2B,,1,0,0,0,0,0,NA
ADRA1A,,1,0,0,0,0,0,NA
ADRA1B,,1,0,0,0,0,0,NA
ADRA1D,,1,0,0,0,0,0,NA
ADRA2A,,1,0,0,0,0,0,NA
ADRA2B,,1,0,0,0,0,0,NA
ADRA2C,,1,0,0,0,0,0,NA
ADRB1,,1,0,0,0,0,0,NA
ADRB2,,1,0,0,0,0,0,NA
ADRB3,,1,0,0,0,0,0,NA
ADRM1,,1,0,0,0,0,0,-0.17011572864807123
AEBP2_EED_EZH2_RBBP4_SUZ12,,1,0,0,0,0,0,NA
AFAP1L2,,1,0,0,0,0,0,NA
AFDN,,1,0,0,0,0,0,-0.9439246664031257
AFP,,1,0,0,0,0,0,NA
AGA,,1,0,0,0,0,0,NA
AGAP2,,1,0,0,0,0,0,NA
AGER,,1,0,0,0,0,0,NA
AGO2,M,1,0,0,0,1,0,-1.6141528467554533
AGRN,,1,0,0,0,0,0,NA
AGRP,,1,0,0,0,0,0,NA
AGT,,1,0,0,0,0,0,-0.07575568917206886
AGTR1,,1,0,0,0,0,0,NA
AGTR2,,1,0,0,0,0,0,NA
AHCYL1,,1,0,0,0,0,0,NA
AHR,,1,0,0,0,0,0,NA
AHRR,,1,0,0,0,0,0,NA
AHSA1,,1,0,0,0,0,0,-0.8043705575442289
AIF1,,1,0,0,0,0,0,NA
AIM2_CASP1_PYCARD,,1,0,0,0,0,0,NA
AIMP1,,1,0,0,0,0,0,-0.9650630184167468
AK2,M,1,0,0,0,1,0,1.4452011143921637
AKAP13,,1,0,0,0,0,0,0.20406323382106722
AKAP5,,1,0,0,0,0,0,NA
AKR1B1,,1,0,0,0,0,0,0.44324624254383155
AKR7A2,M,0,1,0,1,1,1,1.5247033109565764
AKT1,,1,0,0,0,0,0,-0.060630439993284074
AKT1S1,,1,0,0,0,0,0,NA
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR,,1,0,0,0,0,0,NA
AKT2,,1,0,0,0,0,0,NA
AKT3,,1,0,0,0,0,0,-0.060630439993284074
ALDH1A2,,1,0,0,0,0,0,NA
ALDH9A1,M,0,1,0,1,1,1,1.531834380139032
ALK,,1,0,0,0,0,0,NA
ALOX12,,1,0,0,0,0,0,NA
ALPI,,1,0,0,0,0,0,NA
ALPK1,,1,0,0,0,0,0,NA
ALPP,,1,0,0,0,0,0,NA
AMFR,,1,0,0,0,0,0,NA
AMH,,1,0,0,0,0,0,NA
AMHR2,,1,0,0,0,0,0,NA
AMOT,,1,0,0,0,0,0,NA
ANAPC1,,1,0,0,0,0,0,NA
ANAPC1_ANAPC10_ANAPC11_ANAPC13_ANAPC2_ANAPC4_ANAPC5_ANAPC7_CDC16_CDC23_CDC26_CDC27,,1,0,0,0,0,0,NA
ANAPC10,,1,0,0,0,0,0,NA
ANAPC11,,1,0,0,0,0,0,NA
ANAPC13,,1,0,0,0,0,0,NA
ANAPC2,,1,0,0,0,0,0,NA
ANAPC4,,1,0,0,0,0,0,NA
ANAPC5,,1,0,0,0,0,0,NA
ANAPC7,,1,0,0,0,0,0,NA
ANGPT1,,1,0,0,0,0,0,NA
ANGPT2,,1,0,0,0,0,0,NA
ANGPTL4,,1,0,0,0,0,0,NA
ANKRD1,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
ANKRD26,,1,0,0,0,0,0,NA
ANKRD28,,1,0,0,0,0,0,NA
ANKS1B,,1,0,0,0,0,0,NA
ANP32A,,1,0,0,0,0,0,NA
ANXA1,,1,0,0,0,0,0,0.20440333007794703
ANXA2,,1,0,0,0,0,0,-0.2021052605447934
ANXA5,,1,0,0,0,0,0,0.461815204631611
AOC3,,1,0,0,0,0,0,0.5188531952066286
AP1B1,,1,0,0,0,0,0,0.32489051584384193
AP2A1,,1,0,0,0,0,0,0.5449623096496782
AP2A2,,1,0,0,0,0,0,0.20778457035410491
AP2B1,,1,0,0,0,0,0,-0.21442507520396573
AP2M1,,1,0,0,0,0,0,-0.8380544091252929
AP2S1,,1,0,0,0,0,0,NA
APAF1,,1,0,0,0,0,0,NA
APBA1,,1,0,0,0,0,0,NA
APBA2,,1,0,0,0,0,0,NA
APBB1,,1,0,0,0,0,0,NA
APBB1IP,,1,0,0,0,0,0,NA
APC,,1,0,0,0,0,0,NA
APC_AXIN1_GSK3B,,1,0,0,0,0,0,NA
APC2,,1,0,0,0,0,0,NA
APCS,M,0,1,0,1,1,1,1.4561872029550886
APEX1,,1,0,0,0,0,0,-0.11971947412289774
APH1A,,1,0,0,0,0,0,NA
APLN,,1,0,0,0,0,0,NA
APLP2,,1,0,0,0,0,0,NA
APOA1,,1,0,0,0,0,0,NA
APOA2,,1,0,0,0,0,0,NA
APOA5,,1,0,0,0,0,0,NA
APOC2,,1,0,0,0,0,0,NA
APOE,,1,0,0,0,0,0,NA
APP,,1,0,0,0,0,0,NA
APPL1,M,1,0,0,0,1,0,-1.5033583950087057
APPL1_CASP9,,1,0,0,0,0,0,NA
AR,,1,0,0,0,0,0,NA
ARAF,,1,0,0,0,0,0,NA
ARAP1,,1,0,0,0,0,0,0.19955725133575813
ARAP3,,1,0,0,0,0,0,NA
AREG,,1,0,0,0,0,0,NA
ARF1,,1,0,0,0,0,0,-0.06265141278602572
ARF4,,1,0,0,0,0,0,-0.7099601276096543
ARF6,,1,0,0,0,0,0,0.7975913627746888
ARFGAP1,,1,0,0,0,0,0,NA
ARFGEF1,,1,0,0,0,0,0,-0.6285731992774197
ARFGEF2,,1,0,0,0,0,0,NA
ARFIP1,,1,0,0,0,0,0,-0.5326081406761755
ARFIP2,,1,0,0,0,0,0,NA
arglysasp_c,,1,0,0,0,0,0,NA
ARHGAP1,M,0,1,0,1,1,1,1.4707525976947127
ARHGAP20,,1,0,0,0,0,0,NA
ARHGAP24,,1,0,0,0,0,0,NA
ARHGAP26,,1,0,0,0,0,0,NA
ARHGAP31,,1,0,0,0,0,0,NA
ARHGAP32,,1,0,0,0,0,0,NA
ARHGAP33,,1,0,0,0,0,0,NA
