Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,logFC_z
ABL1,,1,0,0,0,0,0,NA
ABL2,,1,0,0,0,0,0,NA
ACADL,,1,0,0,0,0,0,NA
ACADM,,1,0,0,0,0,0,0.09994651292190532
ACADVL,,1,0,0,0,0,0,-0.3405099159920434
ACHE,,1,0,0,0,0,0,NA
ACP1,,1,0,0,0,0,0,NA
ACSL1,,1,0,0,0,0,0,-0.05853943037809166
ACSL3,,1,0,0,0,0,0,0.9243163459276709
ACSL4,,1,0,0,0,0,0,0.40708784502125317
ACSL5,,1,0,0,0,0,0,NA
ACSL6,,1,0,0,0,0,0,NA
ACSS2,,1,0,0,0,0,0,NA
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
ACVR1,,1,0,0,0,0,0,NA
ACVR1B,,1,0,0,0,0,0,NA
ADAM10,,1,0,0,0,0,0,0.6178299356593882
ADAM17,,1,0,0,0,0,0,NA
ADCY1,,1,0,0,0,0,0,NA
ADCY2,,1,0,0,0,0,0,NA
ADCY3,,1,0,0,0,0,0,NA
ADCY4,,1,0,0,0,0,0,NA
ADCY5,,1,0,0,0,0,0,NA
ADCY6,,1,0,0,0,0,0,NA
ADCY7,,1,0,0,0,0,0,NA
ADCY8,,1,0,0,0,0,0,NA
ADCY9,,1,0,0,0,0,0,NA
ADIPOQ,,1,0,0,0,0,0,NA
ADM,,1,0,0,0,0,0,NA
ADRA1D,,1,0,0,0,0,0,NA
ADRB2,,1,0,0,0,0,0,NA
AFDN,,1,0,0,0,0,0,0.7312950404165017
AGA,,1,0,0,0,0,0,NA
AHR,,1,0,0,0,0,0,NA
AKAP5,,1,0,0,0,0,0,NA
AKT1,,1,0,0,0,0,0,NA
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR,,1,0,0,0,0,0,NA
AKT2,,1,0,0,0,0,0,NA
AKT3,,1,0,0,0,0,0,NA
ALAS1,,1,0,0,0,0,0,NA
ALAS2,,1,0,0,0,0,0,NA
ALDH1A2,,1,0,0,0,0,0,NA
ALDH9A1,,1,0,0,0,0,0,-0.1827945300520438
ALK,,1,0,0,0,0,0,NA
ALPK1,,1,0,0,0,0,0,NA
ALPP,,1,0,0,0,0,0,NA
ANAPC1,,1,0,0,0,0,0,NA
ANGPT1,,1,0,0,0,0,0,NA
ANGPT2,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
ANP32A,,1,0,0,0,0,0,NA
ANXA2,,1,0,0,0,0,0,0.589328754387399
AP1S2,,1,0,0,0,0,0,NA
APAF1,,1,0,0,0,0,0,NA
APC,,1,0,0,0,0,0,NA
APC_AXIN1_GSK3B,,1,0,0,0,0,0,NA
APC2,,1,0,0,0,0,0,NA
APEX1,,1,0,0,0,0,0,-1.0702824759248457
APH1A,,1,0,0,0,0,0,NA
APLP2,,1,0,0,0,0,0,NA
APP,,1,0,0,0,0,0,NA
APPL1_CASP9,,1,0,0,0,0,0,NA
AR,,0.22,0,0.78,-0.78,0,-0.78,NA
ARAF,,1,0,0,0,0,0,NA
ARF1,,1,0,0,0,0,0,-0.8536004429984317
ARF6,,1,0,0,0,0,0,0.5655104399187254
ARG1,,0,1,0,1,0,1,NA
ARHGDIB,,1,0,0,0,0,0,1.3754725635295113
ARHGEF7,,1,0,0,0,0,0,1.3735874149875358
ARID3A,,1,0,0,0,0,0,NA
ARID4A,,1,0,0,0,0,0,NA
ARMC10,,1,0,0,0,0,0,NA
ARNT,,1,0,0,0,0,0,NA
ARRB1,,1,0,0,0,0,0,-0.036418262860302995
ASAP1,,1,0,0,0,0,0,NA
ASF1A,,1,0,0,0,0,0,NA
ASPN,,1,0,0,0,0,0,0.5777887715641732
ASXL1,,1,0,0,0,0,0,NA
