Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,logFC_z
3mhis_c,,1,0,0,0,0,0,NA
4mtob_c,,1,0,0,0,0,0,NA
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
AHR,,1,0,0,0,0,0,NA
AKT1,,1,0,0,0,0,0,0.991641035244476
ALDH1A2,,1,0,0,0,0,0,NA
ALK,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
APEX1,,1,0,0,0,0,0,-0.3844672431746735
AR,,0,1,0,1,0,1,NA
AREG,,1,0,0,0,0,0,NA
ARMC10,,1,0,0,0,0,0,NA
ARRB1,,1,0,0,0,0,0,-0.1422849347966227
ASAP1,,1,0,0,0,0,0,NA
ATF1,,1,0,0,0,0,0,NA
ATF2,,1,0,0,0,0,0,NA
ATM,,1,0,0,0,0,0,NA
ATR,,1,0,0,0,0,0,NA
AURKA,,1,0,0,0,0,0,NA
AURKB,,1,0,0,0,0,0,NA
AXIN1,,1,0,0,0,0,0,NA
B2M,,1,0,0,0,0,0,NA
BAD,,1,0,0,0,0,0,NA
BAG1,,1,0,0,0,0,0,NA
BCKDHB,,1,0,0,0,0,0,NA
BCL2L1,,1,0,0,0,0,0,NA
BCL6,,1,0,0,0,0,0,NA
BDNF,,1,0,0,0,0,0,NA
BLM,,1,0,0,0,0,0,NA
BMP4,,1,0,0,0,0,0,NA
BMPR1A,,1,0,0,0,0,0,NA
BRCA1,,1,0,0,0,0,0,NA
BUB1,,1,0,0,0,0,0,NA
CABIN1,,1,0,0,0,0,0,NA
CALM1,,1,0,0,0,0,0,NA
CALM3,,1,0,0,0,0,0,NA
CALR,,1,0,0,0,0,0,-1.778582878385379
CAMK1,,1,0,0,0,0,0,NA
CAMK1D,,1,0,0,0,0,0,NA
CAMK1G,,1,0,0,0,0,0,NA
CAMK2A,,1,0,0,0,0,0,0.4676771012727655
CAMK2B,,1,0,0,0,0,0,NA
CAMK2D,,1,0,0,0,0,0,0.4676771012727655
CAMK2G,,1,0,0,0,0,0,0.6795940240504986
CAMK4,,1,0,0,0,0,0,NA
CASP3,,1,0,0,0,0,0,NA
CASP8,,1,0,0,0,0,0,NA
CCAR2,,1,0,0,0,0,0,-1.6319247442992308
CCL11,,1,0,0,0,0,0,NA
CCL3,,1,0,0,0,0,0,NA
CCNA2,,1,0,0,0,0,0,NA
CCNA2_CDK2,,1,0,0,0,0,0,NA
CCNE1,,1,0,0,0,0,0,NA
CD40,,1,0,0,0,0,0,NA
CD40LG,,1,0,0,0,0,0,NA
CD44,,1,0,0,0,0,0,0.05344121799599397
CDC42,,1,0,0,0,0,0,-0.05085917835478453
CDCA8,,1,0,0,0,0,0,NA
CDK1,,1,0,0,0,0,0,NA
CDK2,,1,0,0,0,0,0,NA
CDK5,,1,0,0,0,0,0,NA
CDK5_CDK5R1,,1,0,0,0,0,0,NA
CDK7,,1,0,0,0,0,0,NA
CDK9,,1,0,0,0,0,0,NA
CDKN2A,,1,0,0,0,0,0,NA
CDKN2AIP,,1,0,0,0,0,0,NA
CDS1,,1,0,0,0,0,0,NA
CDX2,,1,0,0,0,0,0,NA
CEBPA,,1,0,0,0,0,0,NA
CEP43,,1,0,0,0,0,0,NA
CHEK1,,1,0,0,0,0,0,NA
CHEK2,,1,0,0,0,0,0,NA
CHP1,,1,0,0,0,0,0,NA
CHP2,,1,0,0,0,0,0,NA
CNTF,,1,0,0,0,0,0,NA
CREB1,,1,0,0,0,0,0,NA
CREB3L1,,1,0,0,0,0,0,NA
CREBBP,,1,0,0,0,0,0,NA
CSF2,,1,0,0,0,0,0,NA
CSF3,,1,0,0,0,0,0,NA
CSNK1A1,,1,0,0,0,0,0,1.6035453770014714
CSNK1D,,1,0,0,0,0,0,NA
CSNK1E,,1,0,0,0,0,0,NA
CSNK1G1,,1,0,0,0,0,0,NA
CSNK1G2,,1,0,0,0,0,0,NA
CSNK2A1,,1,0,0,0,0,0,0.6524809980300963
CSNK2A2,,1,0,0,0,0,0,0.34028523404217026
CSNK2B,,1,0,0,0,0,0,NA
CTNNB1,,1,0,0,0,0,0,1.0253753516437019
DAAM1,,1,0,0,0,0,0,NA
DAB2IP,,1,0,0,0,0,0,NA
DACH1,,1,0,0,0,0,0,NA
DAPK1,,1,0,0,0,0,0,NA
DAPK3,,1,0,0,0,0,0,NA
DAXX,,1,0,0,0,0,0,NA
DDB1,,1,0,0,0,0,0,-1.026356302040062
DDC,,0,1,0,1,0,1,NA
DDX5,,1,0,0,0,0,0,-1.3182233799976946
DEK,,1,0,0,0,0,0,1.3170956276695902
DLAT,,1,0,0,0,0,0,-1.0385567036926964
DNAJA1,,1,0,0,0,0,0,-1.0051875727179078
DNAJA3,,1,0,0,0,0,0,NA
DYRK2,,1,0,0,0,0,0,NA
E2F1,,1,0,0,0,0,0,NA
E4F1,,1,0,0,0,0,0,NA
ECT2,,1,0,0,0,0,0,NA
EDN1,,1,0,0,0,0,0,NA
EGFR,,1,0,0,0,0,0,NA
EGR1,,1,0,0,0,0,0,NA
EIF2AK2,,1,0,0,0,0,0,-1.7203806166083844
ELAVL1,,1,0,0,0,0,0,-0.9142098340372703
ELF1,,1,0,0,0,0,0,NA
Enzyme1003000002__SLC7A6,,1,0,0,0,0,0,NA
Enzyme1005600002__SLC7A6,,1,0,0,0,0,0,NA
Enzyme1011400001__SLC7A9,,1,0,0,0,0,0,NA
Enzyme1012300001__SLC7A9,,1,0,0,0,0,0,NA
Enzyme1014300001__SLC7A9,,1,0,0,0,0,0,NA
Enzyme10473__PLPBP,,0,0,1,-1,0,-1,NA
Enzyme12800002__SLC1A4,,1,0,0,0,0,0,NA
Enzyme12800002__SLC1A5,,1,0,0,0,0,0,NA
Enzyme13000002__SLC1A4,,1,0,0,0,0,0,NA
Enzyme13000002__SLC1A5,,1,0,0,0,0,0,NA
Enzyme134100003__SLC1A5,,1,0,0,0,0,0,NA
Enzyme134400002__SLC1A4,,1,0,0,0,0,0,NA
Enzyme134400002__SLC1A5,,1,0,0,0,0,0,NA
Enzyme1551__orphanReacr0156,,1,0,0,0,0,0,NA
Enzyme1552__AGXT,,1,0,0,0,0,0,NA
Enzyme1553__PKLR,,1,0,0,0,0,0,NA
Enzyme1765__orphanReacALAtmi,,0,0,1,-1,0,-1,NA
Enzyme180300001__SLC7A5,,1,0,0,0,0,0,NA
Enzyme180400001__SLC7A5,,1,0,0,0,0,0,NA
Enzyme180500001__SLC7A5,,1,0,0,0,0,0,NA
Enzyme180600001__SLC7A5,,1,0,0,0,0,0,NA
Enzyme180700001__SLC7A5,,1,0,0,0,0,0,NA
