Node1,Sign,Node2,Weight
ABL1,-1,DDB2,1
ABL1,-1,PRKN,1
ABL1,-1,UBE3A,1
ABL1,1,BRK1,1
ABL1,1,PLK1,1
ABL1,1,PPARG,1
ABL1,1,STAT1,1
BRK1,1,ARPC2,1
BRK1,1,ARPC4,1
CALML3,1,CAMK2A,1
CAMK2A,1,CD44,1
CASP1,-1,PRKN,1
CASP1,1,EIF3A,1
CASP3,-1,NDUFS1,1
CASP3,1,ROCK1,1
CASP3,1,TP73,1
CD2,1,PRKAR2A,1
CD2,1,SYK,1
CD44,-1,CD2,1
CFB,1,C3,1
CSNK1E,1,RPA1,1
CSNK1E,1,YWHAZ,1
DDB2,-1,DDB1,1
DDB2,1,ERCC3,1
EPHA2,1,A1BG,1
EPHA3,1,PPP5C,1
EPHA3,1,SRC,1
ERCC3,-1,KLC1,1
GCG,1,INS,1
GNB1,1,ARHGEF1,1
GNB1,1,HCK,1
GNB1,1,MAPK14,1
GNB1,1,PLCB3,1
HCK,-1,EPHA2,1
HCK,-1,EPHA3,1
HCK,1,ABL1,1
HCK,1,DOCK2,1
HCK,1,MAPK14,1
HIPK2,1,MECP2,1
INS,1,MAPK1,1
INS,1,MYC,1
INS,1,PPP1R3A,1
IRF2,1,TAP1,1
MAPK1,-1,NUP50,1
MAPK1,-1,ROCK1,1
MAPK1,1,MYC,1
MAPK1,1,NFKB1,1
MAPK1,1,PPIA,1
MAPK1,1,RPS6KA3,1
MAPK1,1,STAT1,1
MAPK14,-1,CASP3,1
MAPK14,-1,DDB2,1
MAPK14,1,EEA1,1
MAPK14,1,MAPK1,1
MAPK14,1,MYC,1
MAPK14,1,NFKB1,1
MAPK14,1,STAT1,1
MAPK14,1,YWHAZ,1
MECP2,-1,FKBP5,1
Metab__L-Glutamic acid_c,1,GCG,1
MYC,1,MTHFD1,1
NFKB1,-1,SERPINA3,1
NFKB1,1,MYC,1
NUP50,1,NXF1,1
PLCB3,1,MAPK14,1
PLK1,-1,TP73,1
PLK1,1,CSNK1E,1
PLK1,1,DCTN1,1
PLK1,1,MYC,1
PLK1,1,NUDC,1
PLK1,1,ROCK2,1
PPARG,-1,COPS5,1
PPP1R3A,-1,CALML3,1
PPP2R1A,1,AP2A1,1
PPP2R1A,1,YWHAZ,1
PPP5C,-1,CDC37,1
PRKAR2A,1,GNB1,1
PRKN,-1,PUF60,1
ROCK2,1,CAPZB,1
RPS6KA3,1,PPP2R1A,1
SRC,-1,AP2B1,1
SRC,-1,CFL1,1
SRC,1,CDH1,1
SRC,1,EPHA2,1
SRC,1,HIPK2,1
SRC,1,STAT3,1
STAT1,1,CASP1,1
STAT1,1,IFIT1,1
STAT1,1,IRF2,1
STAT1,1,MYC,1
STAT1,1,WARS1,1
STAT1,1,ZC3HAV1,1
STAT3,1,CFB,1
SYK,1,ETF1,1
SYK,1,MAPK14,1
SYK,1,NFKB1,1
SYK,1,PSMC3,1
SYK,1,TRIM28,1
TP73,1,SERPINA1,1
TRIM28,-1,STAT3,1
TRIM28,1,STAT1,1
UBE3A,-1,PSMD2,1
