Node1,Sign,Node2,Weight
AKT1,-1,IRAK1,1
AKT1,1,ARNT,1
AKT1,1,CLK2,1
AKT1,1,GLI2,1
AKT1,1,GSK3B,1
AKT1,1,HNRNPK,1
AKT1,1,JUN,1
AKT1,1,MYC,1
AKT1,1,PRKACA,1
AKT1,1,RBM17,1
AKT1,1,SCYL1,1
AKT1,1,XPA,1
ARNT,1,ALDOA,1
AURKB,1,DES,1
AURKB,1,YY1,1
BMP7,-1,CDK2,1
CAPN1,-1,RDX,1
CAPN1,-1,TNS1,1
CAPN1,1,GSK3B,1
CASP2,-1,GOLGA3,1
CASP2,1,FAS,1
CASP3,-1,AKT1,1
CASP3,-1,EIF2A,1
CASP3,-1,PARP1,1
CASP3,-1,STX5,1
CASP3,1,CASP2,1
CASP3,1,LAMA4,1
CASP3,1,LAMA5,1
CASP3,1,LAMC1,1
CASP3,1,PSEN1,1
CASP3,1,SPTAN1,1
CASP3,1,SPTBN1,1
CASP6,1,PTBP2,1
CASP6,1,TOP1,1
CDC7,1,PSIP1,1
CDK2,-1,LIG3,1
CHKA,-1,PLIN3,1
CLK2,1,EIF4A3,1
CLK2,1,PRKACA,1
CLK2,1,RUVBL2,1
CLK2,1,U2AF1,1
CLK2,1,XPA,1
CSNK2A1,-1,CASP2,1
CSNK2A1,-1,SPTBN1,1
CSNK2A1,-1,YWHAQ,1
CSNK2A1,1,AKT1,1
CSNK2A1,1,ARNT,1
CSNK2A1,1,EIF5,1
CSNK2A1,1,HNRNPK,1
CSNK2A1,1,PACS1,1
CSNK2A1,1,PIAS1,1
CSNK2A1,1,RBM17,1
CSNK2A1,1,TCOF1,1
CSNK2A1,1,WAS,1
CTSG,-1,SERPIND1,1
EIF5,1,RPS13,1
EIF5,1,RPS24,1
EIF5,1,RPS4X,1
EIF5,1,RPS9,1
ERCC5,1,TCEA1,1
FAS,1,IL1A,1
GEM,-1,ROCK2,1
GLI2,-1,FAS,1
GLI2,-1,LUM,1
GLI2,1,BMP7,1
GSK3B,-1,PSEN1,1
GSK3B,1,H1_5,1
GSK3B,1,JUN,1
GSK3B,1,MYC,1
GSK3B,1,OSBP2,1
HNF4A,1,ALDOB,1
HNF4A,1,MYC,1
HNRNPA1,1,TRA2B,1
IL1A,1,AOC3,1
IL5,1,MYC,1
IL5,1,PTAFR,1
IRAK1,1,GLIPR2,1
IRF8,1,NF1,1
JUN,-1,DCN,1
JUN,-1,HSD17B4,1
JUN,1,IL5,1
JUN,1,MYB,1
MAPK14,-1,CASP3,1
MAPK14,1,BAZ1B,1
MAPK14,1,CSNK2A1,1
MAPK14,1,JUN,1
MAPK14,1,MYC,1
MAPK14,1,STAT1,1
MAPK14,1,USF1,1
MAPK8,1,AKT1,1
MAPK8,1,FBL,1
MAPK8,1,HNF4A,1
MAPK8,1,HNRNPK,1
MAPK8,1,JUN,1
MAPK8,1,MAPK14,1
MAPK8,1,MYC,1
MAPK8,1,OSBP2,1
MAPK8,1,RUVBL2,1
MAPK8,1,SF3B1,1
MAPK8,1,STAT1,1
MAPK8,1,XPA,1
MEF2D,1,DES,1
MEF2D,1,MYH10,1
Metab__Linoleic acid_c,1,HMGCS2,1
"Metab__1,4-Butanediamine, N,N'-bis(3-aminopropyl)-_c",1,MAPK8,1
MYB,1,CASP6,1
MYB,1,CTSG,1
MYB,1,MYC,1
MYC,1,CAD,1
MYC,1,DDX18,1
MYC,1,HNRNPA1,1
MYC,1,HSPD1,1
MYC,1,NOP56,1
MYC,1,RCC1,1
MYC,1,RPL23,1
MYC,1,SHMT2,1
NF1,-1,RRAS2,1
NF1,1,PRKACA,1
NUP210,1,RNPS1,1
NUP98,1,RNPS1,1
PARP1,-1,AURKB,1
PARP1,1,ZEB1,1
PIAS1,-1,FHL1,1
PIAS1,1,AKT1,1
PIAS1,1,STAT1,1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,HNF4A,1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,CHKA,1
PRKACA,-1,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1
PRKACA,-1,SPTBN1,1
PRKACA,1,CAPN1,1
PRKACA,1,GSK3B,1
PRKACA,1,HNRNPK,1
PRKACA,1,RUVBL2,1
PRKACA,1,STK11,1
PRKACA,1,TTF2,1
PSEN1,-1,HM13,1
PSIP1,1,ADH4,1
PTAFR,-1,MCAM,1
PTBP2,1,HNRNPH1,1
RCC1,1,NUP210,1
RCC1,1,NUP98,1
ROCK2,1,PIP4K2C,1
RUVBL2,1,CAD,1
RUVBL2,1,DKC1,1
RUVBL2,1,HSPD1,1
STAT1,-1,CDC7,1
STAT1,1,ADAR,1
STAT1,1,ARNT,1
STAT1,1,IRF8,1
STAT1,1,MYC,1
STK11,1,GSK3B,1
STK11,1,HDLBP,1
STK11,1,MYC,1
TTF2,1,CDC5L,1
U2AF1,1,SNRPA1,1
USF1,1,P4HA1,1
USF1,1,SERBP1,1
WAS,1,ARPC5L,1
XPA,1,ERCC5,1
YWHAQ,-1,CCAR1,1
YWHAQ,1,GEM,1
YWHAQ,1,MEF2D,1
YY1,-1,HNRNPL,1
YY1,-1,IL5,1
YY1,-1,JUN,1
ZEB1,-1,CDH13,1
