ID	name	logFC	AveExpr	t	P.Value	adj.P.Val	B
CE.22.5.	CE.22.5.	-2.44188109817747	-0.0483422086347749	-10.1393601057128	4.02935050593789e-10	1.63188695490485e-07	13.3069636409808
CE.20.3.	CE.20.3.	-1.73907285579585	1.10711297522261	-7.05750555280088	2.79955356897305e-07	5.66909597717043e-05	6.89563156662573
Suc	Suc	-1.33264714407587	3.1628744994938	-6.17105003945428	2.30783108126209e-06	0.000308806591014523	4.8139469822506
Putrescine	Putrescine	-1.58766273095581	2.16082139183306	-6.0566460380619	3.04994163964961e-06	0.000308806591014523	4.53879864137944
CE.22.6.	CE.22.6.	-1.23839587021665	1.21513467650374	-5.74345819875884	6.58749792106998e-06	0.000533587331606668	3.77915887080099
SM.C26.1	SM.C26.1	1.02051996705319	0.776584313281843	5.60508594842108	9.28418836141856e-06	0.000581950137723644	3.44086262370115
SM.C24.1	SM.C24.1	0.964726524138171	4.90177806367579	5.57288223396637	1.00583974421371e-05	0.000581950137723644	3.36192154994009
SM.C18.0	SM.C18.0	0.927172688605614	3.89955391547917	5.26762224590978	2.15763672899431e-05	0.00109230359405337	2.6102877740891
Cys	Cys	-1.83015761303462	7.08943349614282	-5.19645660800818	2.58017734540776e-05	0.00116107980543349	2.43432561964191
DG.18.1_18.1.	DG.18.1_18.1.	1.07323836170384	1.19600260700817	4.76788168343574	7.61593545833809e-05	0.00308445386062692	1.37128946967096
SM.C24.0	SM.C24.0	0.793122742768664	4.30313126270341	4.64295701294562	0.000104529107322148	0.00384857167867907	1.06107205108137
Lac	Lac	-0.851424452706963	9.39805953000394	-4.5353938563585	0.000137311932787017	0.00463427773156181	0.794150918083029
C14.1	C14.1	1.21585591822016	-0.395452095517376	4.46339270239652	0.000164822692910828	0.00513486081760656	0.615655490472092
Cer.d18.1.25.0.	Cer.d18.1.25.0.	-0.837835304939623	0.913053087286057	-4.3277676272892	0.000232460821200132	0.00611359778160001	0.280017504796201
SM.C18.1	SM.C18.1	0.852027813509834	2.1507739154794	4.32206928255582	0.000235841911526144	0.00611359778160001	0.265936286099822
Pro	Pro	-0.798111962495498	6.32008901820658	-4.30876642416058	0.000243927031644795	0.00611359778160001	0.233070958516747
Cer.d16.1.23.0.	Cer.d16.1.23.0.	-1.1514162095424	-1.89707200666927	-4.28210594774741	0.000260970967210479	0.00611359778160001	0.167237651484752
TG.20.4_32.2.	TG.20.4_32.2.	-1.30354219593586	-1.76019091097186	-4.26617612766467	0.00027171545696	0.00611359778160001	0.127923519222484
HexCer.d18.1.26.0.	HexCer.d18.1.26.0.	-1.07078142609711	-0.716084436808121	-4.21826939757854	0.0003067530588583	0.00653868362303218	0.00979663779565332
TG.22.6_32.0.	TG.22.6_32.0.	-1.20844184193136	-0.210326239749924	-4.19507427938295	0.000325296883525074	0.00658726189138274	-0.0473368696894569
GLCAS	GLCAS	1.5316511854336	-0.64498438533872	3.95052811102294	0.000603026026648312	0.0113669282886184	-0.646748362725777
Betaine	Betaine	1.20759367210205	5.68386641987791	3.94112541419792	0.000617462771233592	0.0113669282886184	-0.669669494721726
DG.18.0_20.4.	DG.18.0_20.4.	0.998993389469186	1.12898866913464	3.87795387863911	0.000723710094810864	0.0125300453283431	-0.823379614801946
Cer.d18.2.23.0.	Cer.d18.2.23.0.	-1.03582140995122	-1.16699794546896	-3.86673746034421	0.000744377236428223	0.0125300453283431	-0.850617736959652
PC.aa.C32.0	PC.aa.C32.0	0.869147357380017	7.47217913811897	3.85146355388702	0.00077345958816933	0.0125300453283431	-0.887681887427677
TG.22.4_32.0.	TG.22.4_32.0.	-1.26378437635936	-1.25773062329802	-3.76411517153258	0.00096260251076669	0.0149943852638658	-1.09900878673916
TG.20.4_30.0.	TG.20.4_30.0.	-1.32180773360502	-1.09863077291872	-3.74624428129142	0.001006573497747	0.015098602466205	-1.14210431575262
TDCA	TDCA	1.25136665057671	-4.993232439061	3.73026625216145	0.0010475557338806	0.0151521454364873	-1.18059267976166
FA.18.2.	FA.18.2.	0.726863556845109	4.18080335364248	3.69836402252268	0.00113434834341864	0.015841761347743	-1.25731627744712
C16.2	C16.2	0.878343127917167	-1.22991987524103	3.62731259585176	0.00135380801833384	0.0182764082475069	-1.4275717421739
TG.22.6_34.2.	TG.22.6_34.2.	-0.93696641803967	-0.44287874230819	-3.59312504541907	0.00147374014910048	0.0192192755543451	-1.50917098207765
TG.16.0_38.6.	TG.16.0_38.6.	-1.00604656194175	-0.239310583251753	-3.5756042927073	0.00153917495552859	0.0192192755543451	-1.55090479476343
SM..OH..C24.1	SM..OH..C24.1	0.581849973774925	1.53672710986896	3.56862756567943	0.00156601504516886	0.0192192755543451	-1.56750673846205
Hex3Cer.d18.1_22.0.	Hex3Cer.d18.1_22.0.	0.621719068523301	1.15641499193159	3.46675924900262	0.00201412259573154	0.0239917544491551	-1.80880211597342
TG.20.4_33.2.	TG.20.4_33.2.	-0.919912212704555	-2.6048625119009	-3.40574846250724	0.00234002235897731	0.0270774015824517	-1.95225990177889
TG.20.3_32.0.	TG.20.3_32.0.	-0.964210833827422	-0.455036306270327	-3.32554085827089	0.0028473803163972	0.0320330285594685	-2.1395467889376
Cer.d18.1.26.0.	Cer.d18.1.26.0.	-0.700683649849076	-1.26434305524347	-3.30359899736738	0.00300383033120773	0.0328797644361927	-2.19050847860335
Spermine	Spermine	0.619527834142447	1.17369395722619	3.27640292933627	0.00320933553368053	0.0342047602931741	-2.25350386194352
TG.20.4_32.0.	TG.20.4_32.0.	-1.01705805434432	0.535522468385057	-3.24728953855906	0.003444406473457	0.0357688364551304	-2.3207272554458
C14.2.OH	C14.2.OH	0.663352045922828	-2.83550193278605	3.23217931615285	0.00357289203913129	0.0361755318962043	-2.35552825665505
TG.22.4_34.2.	TG.22.4_34.2.	-1.11594851704415	-1.20251250116936	-3.20932251428121	0.00377609345721397	0.0373004353700404	-2.408053063888
C14.1.OH	C14.1.OH	0.695084790466188	-1.72909285939012	3.17820567614768	0.00407074439980388	0.0392536067123946	-2.47932692435408
C12	C12	0.814917899669808	-0.197190346940181	3.14779481967106	0.00438006764459228	0.0412541254897645	-2.54871823614335
TG.16.0_40.8.	TG.16.0_40.8.	-1.01411286008937	-1.62635179008203	-3.14589461278759	0.00455227221243692	0.0419015965008399	-2.55143862596377
DG.18.1_18.2.	DG.18.1_18.2.	0.590598321122019	1.22944711345038	3.12227314648006	0.0046570236653028	0.0419132129877252	-2.60674574111446
PC.ae.C42.1	PC.ae.C42.1	-0.596515380743571	0.709878029050322	-3.07386326605081	0.00522932798609672	0.0460408224862864	-2.71627672899668
