name	logFC	AveExpr	t	P.Value	adj.P.Val	B
PRPF40A	PRPF40A	1.66524038186775	9.28117177602634	13.3832876550043	5.54914774876766e-15	9.3170190701809e-12	24.0527905331205
CAV1;CAV3	CAV1;CAV3	-2.70259235046042	11.6738204709645	-12.5828202958039	1.24115003467917e-14	1.04194545411316e-11	23.2715911915849
COL6A1	COL6A1	-1.61517966230115	12.6477067899612	-11.7047797198354	9.92258216109458e-14	5.55333848282593e-11	21.2461544250856
FHL1	FHL1	-2.77262142722311	11.8316156559025	-11.5207554433464	1.55262027641661e-13	6.51712361025871e-11	20.8087786068418
NUDT21	NUDT21	0.941345793939417	10.21732212409	10.6905242541704	1.23445250313783e-12	3.46561859984239e-10	18.7787464423161
EHD4	EHD4	-1.14662183045291	10.6826216689874	-10.6892541221634	1.23845810595916e-12	3.46561859984239e-10	18.7755688931611
MYO1C	MYO1C	-1.52267475113551	11.3725802857065	-10.3052020651859	3.33020557954461e-12	7.98773595436486e-10	17.8046208112043
RDX	RDX	-1.26141502279217	10.3055454244335	-10.0460771178194	6.56200664594285e-12	1.37720114481725e-09	17.138067948219
EHD1	EHD1	-1.44994606680553	11.1130792677032	-9.93806775135982	8.72857596393436e-12	1.62836433816064e-09	16.8575120170633
EHD2	EHD2	-2.52546655572422	11.2890679406329	-9.01721064111538	1.05710672713796e-10	1.77488219486464e-08	14.4011668651191
CAD	CAD	2.69319498696079	8.2825402462636	9.25174539589507	1.29177657978025e-10	1.88628709991345e-08	14.2581730489619
STAU1	STAU1	1.42119064968325	9.06374273465905	8.92952295146031	1.3481503989852e-10	1.88628709991345e-08	14.1613464166198
AIMP1	AIMP1	1.18083523337877	9.79614811658134	8.80493926146035	1.90777041617754e-10	2.46395886827853e-08	13.8188913090036
CAVIN1	CAVIN1	-2.05132973958112	11.9579483682343	-8.77713093608653	2.06205064506714e-10	2.47298788076266e-08	13.7421772553075
STOM	STOM	-1.26314187737668	11.5406272109262	-8.64365735580486	2.99907506439923e-10	3.18084927925508e-08	13.3725854625967
HDLBP	HDLBP	1.25978315863134	10.3361271588377	8.60838890581386	3.31234764353727e-10	3.18084927925508e-08	13.2745468766014
HNRNPF	HNRNPF	1.48949285344117	10.7719468287666	8.60386779352773	3.35484159106182e-10	3.18084927925508e-08	13.2619677813682
DKC1	DKC1	1.42523367188017	9.82503232867529	8.5980766348848	3.41008261027942e-10	3.18084927925508e-08	13.2458512603117
RPS13	RPS13	0.82645181856723	11.803674469007	8.56697643770818	3.72294352240424e-10	3.28990640742985e-08	13.1592284858914
RSL1D1	RSL1D1	1.55015821741037	9.56052298732747	8.49881024303164	4.51463633522744e-10	3.79003720342344e-08	12.9689414230711
G3BP1	G3BP1	1.22315038416617	9.69498029048591	8.42223408912151	5.61027241108865e-10	4.42810045470287e-08	12.754486867655
NOP58	NOP58	1.12595852697726	11.6015682546674	8.41040378607614	5.80215664106392e-10	4.42810045470287e-08	12.7212909039238
HSD17B4	HSD17B4	-1.07080952665524	11.2730834744227	-8.38667866325226	6.20729300981471e-10	4.52445661652437e-08	12.6546660132813
GFPT1	GFPT1	1.64770070374082	10.4013292160205	8.37226338636511	6.46735907067212e-10	4.52445661652437e-08	12.6141512705797
COL6A3	COL6A3	-1.11276040170582	12.9643861313163	-8.29670546931807	8.02292745020716e-10	5.32610592130803e-08	12.4013775252216
PALM2AKAP2	PALM2AKAP2	-1.69136916163457	10.6331909910948	-8.28703677282079	8.24769231411607e-10	5.32610592130803e-08	12.3741000918774
CAT	CAT	-1.39248238044008	11.5485957046141	-8.21807872451324	1.00474175275649e-09	6.24800519584498e-08	12.1792283741644
LUM	LUM	-1.76001284883709	11.8073398551338	-8.19176409852792	1.08350419508096e-09	6.49715551264621e-08	12.1047145926033
HM13	HM13	2.03142510370788	10.3109802265543	8.31267535440027	1.20528933359698e-09	6.97820962451496e-08	12.0404177931116
SMARCA5	SMARCA5	1.41674484779521	9.56305189043398	7.96958564293224	2.05569652259135e-09	1.15050482047696e-07	11.472342714202
HNRNPK	HNRNPK	0.70857119682821	11.8693979884171	7.9276719281875	2.32114729768264e-09	1.25716332671263e-07	11.3524094165102
GLIPR2	GLIPR2	-1.11392026321873	10.6677831386164	-7.76593060416481	3.715636980991e-09	1.94954827846371e-07	10.8877616365643
SERPING1	SERPING1	-1.19268844813173	11.306530296354	-7.74113460047785	3.99455767062e-09	2.0323825239306e-07	10.8162752092586
ADH1B;ADH4	ADH1B;ADH4	-3.12060269724574	11.7149842716	-7.77452988939327	4.40048230743223e-09	2.17306170417021e-07	10.73609943704
