Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,logFC_z
ABL1,,1,0,0,0,0,0,NA
ABL2,,1,0,0,0,0,0,NA
ACAA2,P,0,0,1,-1,1,-1,-2.0871678364969055
ACADM,,1,0,0,0,0,0,-1.88564187391574
ACADVL,,1,0,0,0,0,0,-1.2304363097881654
ACSL1,P,0,0,1,-1,1,-1,-2.2519164979600035
ACSL3,,1,0,0,0,0,0,-0.946947021621563
ACSL4,,1,0,0,0,0,0,-1.5237959775498175
ACSL5,,1,0,0,0,0,0,1.294461650074105
ACSL6,,1,0,0,0,0,0,1.294461650074105
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
ACVR1,,1,0,0,0,0,0,NA
ADA,,1,0,0,0,0,0,NA
ADIPOQ,,1,0,0,0,0,0,NA
ADM,,1,0,0,0,0,0,NA
AFP,,1,0,0,0,0,0,NA
AICDA,,1,0,0,0,0,0,NA
AKT1,,1,0,0,0,0,0,0.8736738375223708
AKT2,,1,0,0,0,0,0,NA
AKT3,,1,0,0,0,0,0,0.8736738375223708
ALK,,1,0,0,0,0,0,NA
AMH,,1,0,0,0,0,0,NA
ANGPT1,,1,0,0,0,0,0,NA
ANGPT2,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
ANPEP,,0.7714285714285716,0,0.22857142857142856,-0.22857142857142856,0,-0.22857142857142856,NA
AOC3,P,0,0,1,-1,1,-1,-2.124916397230299
AP1S2,,1,0,0,0,0,0,NA
APEX1,,1,0,0,0,0,0,0.23480016329942735
AR,,1,0,0,0,0,0,NA
ARG1,,0,1,0,1,0,1,NA
ARHGAP1,,1,0,0,0,0,0,-0.8248796244556039
ARHGDIB,P,0,0,1,-1,1,-1,-2.093734977535404
ARHGEF7,,1,0,0,0,0,0,-1.4333010186561237
ARMC10,,1,0,0,0,0,0,NA
ARNT,,1,0,0,0,0,0,NA
ASF1A,,1,0,0,0,0,0,NA
ASXL1,,1,0,0,0,0,0,NA
ATF1,,1,0,0,0,0,0,NA
ATF2,,1,0,0,0,0,0,NA
ATF3,,1,0,0,0,0,0,NA
ATF4,,1,0,0,0,0,0,NA
ATM,,1,0,0,0,0,0,NA
ATR,,1,0,0,0,0,0,NA
AURKA,,1,0,0,0,0,0,NA
AURKB,,1,0,0,0,0,0,NA
AVP,,1,0,0,0,0,0,NA
AXIN1,,1,0,0,0,0,0,NA
B2M,,1,0,0,0,0,0,NA
BAD,,1,0,0,0,0,0,NA
BAG1,,1,0,0,0,0,0,NA
BCKDHB,,1,0,0,0,0,0,NA
BCL10,,1,0,0,0,0,0,NA
BCL2L1,,1,0,0,0,0,0,NA
BCL6,,1,0,0,0,0,0,NA
BCR,,1,0,0,0,0,0,NA
BDNF,,1,0,0,0,0,0,NA
BLM,,1,0,0,0,0,0,NA
BMP2,,1,0,0,0,0,0,NA
BMP4,,1,0,0,0,0,0,NA
BMP5,,1,0,0,0,0,0,NA
BMP7,,1,0,0,0,0,0,NA
BMPR1A,,1,0,0,0,0,0,NA
BMPR2,,1,0,0,0,0,0,NA
BRCA1,,1,0,0,0,0,0,NA
BRD4,,1,0,0,0,0,0,NA
BRD8,,1,0,0,0,0,0,NA
BRMS1,,1,0,0,0,0,0,NA
BTK,,1,0,0,0,0,0,NA
BTRC,,1,0,0,0,0,0,NA
BUB1,,1,0,0,0,0,0,NA
C3,,1,0,0,0,0,0,0.5457104021501165
C4BPA,,1,0,0,0,0,0,NA
CABIN1,,1,0,0,0,0,0,NA
CALCA,,1,0,0,0,0,0,NA
CAMK1,,1,0,0,0,0,0,NA
CAMK1D,,1,0,0,0,0,0,NA
CAMK1G,,1,0,0,0,0,0,NA
CAMK2A,,1,0,0,0,0,0,-1.932833348168787
