Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,logFC_z
4tmeabut_c,,1,0,0,0,0,0,NA
ABL1,,1,0,0,0,0,0,NA
ABL2,,1,0,0,0,0,0,NA
ACHE,,1,0,0,0,0,0,NA
ACLY,P,0,0,1,-1,1,-1,-1.4271011384649235
ACSL1,,1,0,0,0,0,0,0.33667023977014265
ACSL3,,1,0,0,0,0,0,-0.8269481860561716
ACSL4,,1,0,0,0,0,0,0.7248278134253471
ACSL5,,1,0,0,0,0,0,0.696090159732733
ACSL6,,1,0,0,0,0,0,0.696090159732733
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
ACVR1,,1,0,0,0,0,0,NA
ACVR1B,,1,0,0,0,0,0,NA
ADAM17,,1,0,0,0,0,0,NA
ADCY1,,1,0,0,0,0,0,NA
ADCY2,,1,0,0,0,0,0,NA
ADCY3,,1,0,0,0,0,0,NA
ADCY4,,1,0,0,0,0,0,NA
ADCY5,,1,0,0,0,0,0,NA
ADCY6,,1,0,0,0,0,0,NA
ADCY7,,1,0,0,0,0,0,NA
ADCY8,,1,0,0,0,0,0,NA
ADCY9,,1,0,0,0,0,0,NA
ADIPOQ,,1,0,0,0,0,0,NA
ADM,,1,0,0,0,0,0,NA
ADRB2,,1,0,0,0,0,0,NA
AGA,,1,0,0,0,0,0,NA
AHR,,1,0,0,0,0,0,NA
AKAP5,,1,0,0,0,0,0,NA
AKT1,,1,0,0,0,0,0,-0.060630439993284074
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR,,1,0,0,0,0,0,NA
AKT2,,1,0,0,0,0,0,NA
AKT3,,1,0,0,0,0,0,-0.060630439993284074
ALAS1,,1,0,0,0,0,0,NA
ALAS2,,1,0,0,0,0,0,NA
ALDH1A2,,1,0,0,0,0,0,NA
ALDH9A1,P,0,1,0,1,1,1,1.531834380139032
ALK,,1,0,0,0,0,0,NA
ANGPT1,,1,0,0,0,0,0,NA
ANGPT2,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
ANP32A,,1,0,0,0,0,0,NA
AP1S2,,1,0,0,0,0,0,NA
APAF1,,1,0,0,0,0,0,NA
APC,,1,0,0,0,0,0,NA
APEX1,,1,0,0,0,0,0,-0.11971947412289774
APLP2,,1,0,0,0,0,0,NA
APP,,1,0,0,0,0,0,NA
APPL1_CASP9,,1,0,0,0,0,0,NA
AR,,0.15384615384615385,0.8461538461538461,0,0.8461538461538461,0,0.8461538461538461,NA
ARAF,,1,0,0,0,0,0,NA
AREG,,1,0,0,0,0,0,NA
ARF6,,1,0,0,0,0,0,0.7975913627746888
ARHGDIB,,1,0,0,0,0,0,1.3240985474134337
ARHGEF7,,1,0,0,0,0,0,0.24496506938425192
ARMC10,,1,0,0,0,0,0,NA
ARNT,,1,0,0,0,0,0,NA
ARRB1,,1,0,0,0,0,0,-0.0727364751201996
ASAP1,,1,0,0,0,0,0,NA
ASF1A,,1,0,0,0,0,0,NA
ASPN,,1,0,0,0,0,0,0.2817148776863257
ASXL1,,1,0,0,0,0,0,NA
ATF1,,1,0,0,0,0,0,NA
ATF2,,1,0,0,0,0,0,NA
ATF3,,1,0,0,0,0,0,NA
ATF4,,1,0,0,0,0,0,NA
ATM,,1,0,0,0,0,0,NA
ATR,,1,0,0,0,0,0,NA
AURKA,,1,0,0,0,0,0,NA
AURKB,,1,0,0,0,0,0,NA
AVP,,1,0,0,0,0,0,NA
AXIN1,,1,0,0,0,0,0,NA
B2M,,1,0,0,0,0,0,NA
BAD,,1,0,0,0,0,0,NA
BAG1,,1,0,0,0,0,0,NA
BAMBI,,1,0,0,0,0,0,NA
BCAT1,,1,0,0,0,0,0,NA
BCHE,,1,0,0,0,0,0,NA
BCKDHB,,1,0,0,0,0,0,NA
BCL10,,1,0,0,0,0,0,NA
BCL2,,1,0,0,0,0,0,NA
BCL2L1,,1,0,0,0,0,0,NA
BCL2L11,,1,0,0,0,0,0,NA
BCL6,,1,0,0,0,0,0,NA
BCR,,1,0,0,0,0,0,NA
BDNF,,1,0,0,0,0,0,NA
BIRC2,,1,0,0,0,0,0,NA
BIRC3,,1,0,0,0,0,0,NA
BIRC5,,1,0,0,0,0,0,NA
BIRC6,,1,0,0,0,0,0,NA
BIRC7,,1,0,0,0,0,0,NA
BLM,,1,0,0,0,0,0,NA
BMP2,,1,0,0,0,0,0,NA
BMP4,,1,0,0,0,0,0,NA
BMP5,,1,0,0,0,0,0,NA
BMP7,,1,0,0,0,0,0,NA
BMPR1A,,1,0,0,0,0,0,NA
BRAP,,1,0,0,0,0,0,NA
BRCA1,,1,0,0,0,0,0,NA
BRD4,,1,0,0,0,0,0,NA
BRD8,,1,0,0,0,0,0,NA
BRMS1,,1,0,0,0,0,0,NA
BSG,,1,0,0,0,0,0,-0.6216215619290804
BTC,,1,0,0,0,0,0,NA
BTK,,1,0,0,0,0,0,NA
BTRC,,1,0,0,0,0,0,NA
BUB1,,1,0,0,0,0,0,NA
C4BPA,,1,0,0,0,0,0,NA
CABIN1,,1,0,0,0,0,0,NA
CAD,,0.23076923076923075,0.7692307692307694,0,0.7692307692307694,0,0.7692307692307694,-0.09550482208587019
CALCA,,1,0,0,0,0,0,NA
CALM1,,1,0,0,0,0,0,NA
CALM2,,1,0,0,0,0,0,NA
CALM3,,1,0,0,0,0,0,NA
CALR,,1,0,0,0,0,0,0.35754206850941306
CAMK1,,1,0,0,0,0,0,NA
CAMK1D,,1,0,0,0,0,0,NA
CAMK1G,,1,0,0,0,0,0,NA
CAMK2A,,1,0,0,0,0,0,1.1174238900924907
CAMK2B,,1,0,0,0,0,0,NA
CAMK2D,,1,0,0,0,0,0,1.1174238900924907
CAMK2G,,1,0,0,0,0,0,0.34375139207673355
CAMK4,,1,0,0,0,0,0,NA
CAMKK1,,1,0,0,0,0,0,NA
CAMP,,1,0,0,0,0,0,NA
CAPN1,,1,0,0,0,0,0,0.29773280523604484
CAPN2,,1,0,0,0,0,0,-0.2209326488671183
CAPNS1,,1,0,0,0,0,0,0.0295943856998955
CARD16,,1,0,0,0,0,0,NA
CASP1,,1,0,0,0,0,0,0.4443757003007916
CASP10,,1,0,0,0,0,0,NA
CASP2,,1,0,0,0,0,0,NA
