Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,t
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
ACVR1B,,1,0,0,0,0,0,NA
ADCY1,,1,0,0,0,0,0,NA
ADRB2,,1,0,0,0,0,0,NA
AGA,,1,0,0,0,0,0,NA
AHR,,1,0,0,0,0,0,NA
AKT1,,1,0,0,0,0,0,-2.95493992454823
ALDH1A2,,1,0,0,0,0,0,0.32363334703697
ALK,,1,0,0,0,0,0,NA
ANGPT1,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
APEX1,,1,0,0,0,0,0,5.13041541027257
APP,,1,0,0,0,0,0,-0.206216377500803
AR,,0,1,0,1,0,1,NA
ARAF,,1,0,0,0,0,0,2.74127582934557
AREG,,1,0,0,0,0,0,NA
ARF6,,1,0,0,0,0,0,-1.16348266190048
ARID3A,,1,0,0,0,0,0,NA
ARID4A,,1,0,0,0,0,0,NA
ARMC10,,1,0,0,0,0,0,-2.61451543779607
ARRB1,,1,0,0,0,0,0,-6.59475878114749
ASAP1,,1,0,0,0,0,0,NA
ATF1,,1,0,0,0,0,0,NA
ATF2,,1,0,0,0,0,0,NA
ATM,,1,0,0,0,0,0,1.23818144501604
ATR,,1,0,0,0,0,0,NA
AURKA,,1,0,0,0,0,0,NA
AURKB,,1,0,0,0,0,0,NA
AVP,,1,0,0,0,0,0,NA
AXIN1,,1,0,0,0,0,0,NA
B2M,,1,0,0,0,0,0,NA
BAD,,1,0,0,0,0,0,NA
BAG1,,1,0,0,0,0,0,1.84744622814457
BCKDHB,,1,0,0,0,0,0,NA
BCL2L1,,1,0,0,0,0,0,NA
BCL6,,1,0,0,0,0,0,NA
BDNF,,1,0,0,0,0,0,NA
BLM,,1,0,0,0,0,0,NA
BMP2,,1,0,0,0,0,0,NA
BMP4,,1,0,0,0,0,0,NA
BMP5,,1,0,0,0,0,0,NA
BMP7,,1,0,0,0,0,0,NA
BMPR1A,,1,0,0,0,0,0,NA
BRAP,,1,0,0,0,0,0,NA
BRCA1,,1,0,0,0,0,0,NA
BSG,,1,0,0,0,0,0,5.45252744252291
BTC,,1,0,0,0,0,0,NA
BTK,,1,0,0,0,0,0,-0.429060893023656
BUB1,,1,0,0,0,0,0,NA
CABIN1,,1,0,0,0,0,0,NA
CALM1,,1,0,0,0,0,0,-1.79314082092944
CALM1,,1,0,0,0,0,0,-1.79314082092944
CALM1,,1,0,0,0,0,0,-1.79314082092944
CALM3,,1,0,0,0,0,0,NA
CALR,,1,0,0,0,0,0,2.66596273734168
CAMK1,,1,0,0,0,0,0,NA
CAMK1D,,1,0,0,0,0,0,0.116692729474733
CAMK1G,,1,0,0,0,0,0,NA
CAMK2A,,1,0,0,0,0,0,-0.875156522062835
CAMK2B,,1,0,0,0,0,0,NA
CAMK2D,,1,0,0,0,0,0,-0.875156522062835
CAMK2G,,1,0,0,0,0,0,-3.07628179084649
CAMK4,,1,0,0,0,0,0,NA
CAMP,,1,0,0,0,0,0,NA
CARM1,,1,0,0,0,0,0,0.39531463751869
CASP3,,1,0,0,0,0,0,1.17810482670161
CASP8,,1,0,0,0,0,0,1.49543021295787
CAT,,1,0,0,0,0,0,-8.14547359202424
CCAR2,,1,0,0,0,0,0,4.47047939321288
CCK,,1,0,0,0,0,0,NA
CCL11,,1,0,0,0,0,0,NA
CCL15,,1,0,0,0,0,0,NA
CCL3,,1,0,0,0,0,0,NA
CCN2,,1,0,0,0,0,0,NA
CCNA1,,1,0,0,0,0,0,NA
CCNA2,,1,0,0,0,0,0,NA
CCNA2_CDK2,,1,0,0,0,0,0,NA
CCND1,,1,0,0,0,0,0,NA
CCND2,,1,0,0,0,0,0,NA
CCND3,,1,0,0,0,0,0,NA
CCNE1,,1,0,0,0,0,0,NA
CD28,,1,0,0,0,0,0,NA
CD40,,1,0,0,0,0,0,NA
CD40LG,,1,0,0,0,0,0,NA
CD44,,1,0,0,0,0,0,-4.44853057525515
CD58,,1,0,0,0,0,0,NA
CDC25A,,1,0,0,0,0,0,NA
CDC34,,1,0,0,0,0,0,NA
CDC42,,1,0,0,0,0,0,-3.18689849912398
CDCA8,,1,0,0,0,0,0,NA
CDK1,,1,0,0,0,0,0,NA
CDK2,,1,0,0,0,0,0,NA
CDK3,,1,0,0,0,0,0,NA
CDK4,,1,0,0,0,0,0,NA
CDK5,,1,0,0,0,0,0,2.63592148492415
CDK5_CDK5R1,,1,0,0,0,0,0,NA
CDK6,,1,0,0,0,0,0,NA
CDK7,,1,0,0,0,0,0,NA
CDK8,,1,0,0,0,0,0,NA
CDK9,,1,0,0,0,0,0,NA
CDKN1A,,1,0,0,0,0,0,NA
CDKN2A,,1,0,0,0,0,0,NA
CDKN2AIP,,1,0,0,0,0,0,2.10951714976547
CDS1,,1,0,0,0,0,0,NA
CDX2,,1,0,0,0,0,0,NA
CEBPA,,1,0,0,0,0,0,NA
CEP43,,1,0,0,0,0,0,NA
CHEK1,,1,0,0,0,0,0,NA
CHEK2,,1,0,0,0,0,0,NA
CHP1,,1,0,0,0,0,0,NA
CHP2,,1,0,0,0,0,0,NA
CISH,,1,0,0,0,0,0,NA
CNR1,,1,0,0,0,0,0,NA
CNTF,,1,0,0,0,0,0,NA
CREB1,,1,0,0,0,0,0,2.70344733397585
CREB3L1,,0.5555555555555556,0.4444444444444444,0,0.4444444444444444,0,0.4444444444444444,NA
CREBBP,,1,0,0,0,0,0,NA
CRH,,1,0,0,0,0,0,NA
CRHR1,,1,0,0,0,0,0,NA
CRP,,1,0,0,0,0,0,-0.770870782100775
CSF2,,1,0,0,0,0,0,NA
CSF3,,1,0,0,0,0,0,NA
CSNK1A1,,1,0,0,0,0,0,3.0303876827404
CSNK1D,,1,0,0,0,0,0,NA
CSNK1E,,1,0,0,0,0,0,NA
CSNK1G1,,1,0,0,0,0,0,NA
