Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,logFC_z
ABL1,,1,0,0,0,0,0,NA
ABL2,,1,0,0,0,0,0,NA
ACE2,,1,0,0,0,0,0,NA
ACP1,,1,0,0,0,0,0,NA
ACTB,,1,0,0,0,0,0,-0.4176367884270188
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
ACVR1,,1,0,0,0,0,0,NA
ACVR1B,,1,0,0,0,0,0,NA
ADAM10,,1,0,0,0,0,0,-0.30430907815792213
ADAM17,,1,0,0,0,0,0,NA
ADAM9,,1,0,0,0,0,0,NA
ADCY1,,1,0,0,0,0,0,NA
ADCY2,,1,0,0,0,0,0,NA
ADCY3,,1,0,0,0,0,0,NA
ADCY4,,1,0,0,0,0,0,NA
ADCY5,,1,0,0,0,0,0,NA
ADCY6,,1,0,0,0,0,0,NA
ADCY7,,1,0,0,0,0,0,NA
ADCY8,,1,0,0,0,0,0,NA
ADCY9,,1,0,0,0,0,0,NA
ADIPOQ,,1,0,0,0,0,0,NA
ADM,,1,0,0,0,0,0,NA
ADRB2,,1,0,0,0,0,0,NA
AFDN,,1,0,0,0,0,0,-0.0201917175168891
AFP,,1,0,0,0,0,0,NA
AGA,,1,0,0,0,0,0,NA
AHR,,1,0,0,0,0,0,NA
AKAP5,,1,0,0,0,0,0,NA
AKT1,,0.16,0,0.84,-0.84,0,-0.84,-0.48520295577645195
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR,,1,0,0,0,0,0,NA
AKT2,,1,0,0,0,0,0,NA
AKT3,,1,0,0,0,0,0,-0.48520295577645195
ALK,,1,0,0,0,0,0,NA
AMH,,1,0,0,0,0,0,NA
ANAPC1,,1,0,0,0,0,0,NA
ANGPT1,,1,0,0,0,0,0,NA
ANGPT2,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
ANP32A,,1,0,0,0,0,0,NA
AP1S2,,1,0,0,0,0,0,NA
APAF1,,1,0,0,0,0,0,NA
APC,,1,0,0,0,0,0,NA
APC_AXIN1_GSK3B,,1,0,0,0,0,0,NA
APC2,,1,0,0,0,0,0,NA
APEX1,,1,0,0,0,0,0,0.9435172695847579
APH1A,,1,0,0,0,0,0,NA
APLP2,,1,0,0,0,0,0,NA
APP,,1,0,0,0,0,0,NA
APPL1_CASP9,,1,0,0,0,0,0,NA
AR,,1,0,0,0,0,0,NA
ARAF,,1,0,0,0,0,0,NA
ARF1,,1,0,0,0,0,0,-0.6320242089453427
ARF6,,1,0,0,0,0,0,-0.6560825410856247
ARHGDIB,,1,0,0,0,0,0,0.003293457995063113
ARHGEF7,P,0,0,1,-1,1,-1,-2.0309397402775393
ARMC10,,1,0,0,0,0,0,NA
ARNT,,1,0,0,0,0,0,NA
ASF1A,,1,0,0,0,0,0,NA
ASXL1,,1,0,0,0,0,0,NA
ATF1,,1,0,0,0,0,0,NA
ATF2,,1,0,0,0,0,0,NA
ATF3,,1,0,0,0,0,0,NA
ATF4,,1,0,0,0,0,0,NA
ATM,,1,0,0,0,0,0,NA
ATR,,1,0,0,0,0,0,NA
AURKA,,1,0,0,0,0,0,NA
AURKB,,1,0,0,0,0,0,NA
AVP,,1,0,0,0,0,0,NA
AXIN1,,1,0,0,0,0,0,NA
B2M,,1,0,0,0,0,0,NA
BAD,,1,0,0,0,0,0,NA
BAG1,,1,0,0,0,0,0,NA
BCAT1,,1,0,0,0,0,0,NA
BCKDHB,,1,0,0,0,0,0,NA
BCL10,,1,0,0,0,0,0,NA
BCL2,,1,0,0,0,0,0,NA
BCL2L1,,1,0,0,0,0,0,NA
BCL2L11,,1,0,0,0,0,0,NA
BCL6,,1,0,0,0,0,0,NA
BCR,,1,0,0,0,0,0,NA
