Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,t
ABL1,,1,0,0,0,0,0,NA
ABL2,,1,0,0,0,0,0,NA
ACADL,,1,0,0,0,0,0,-3.48410098517618
ACADM,,1,0,0,0,0,0,2.01790777607243
ACADVL,,1,0,0,0,0,0,-0.665671869866058
ACHE,,1,0,0,0,0,0,NA
ACLY,,1,0,0,0,0,0,0.594081627378726
ACP1,,1,0,0,0,0,0,0.271564605955367
ACSL1,,1,0,0,0,0,0,-3.93662146894457
ACSL3,,1,0,0,0,0,0,0.387004693302885
ACSL4,,1,0,0,0,0,0,-0.217836007894096
ACSL5,,1,0,0,0,0,0,3.10171318788927
ACSL6,,1,0,0,0,0,0,3.10171318788927
ACSS2,,1,0,0,0,0,0,-2.65717882308866
ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,,1,0,0,0,0,0,NA
ACVR1,,1,0,0,0,0,0,NA
ACVR1B,,1,0,0,0,0,0,NA
ADAM10,,1,0,0,0,0,0,-2.89027784265863
ADAM17,,1,0,0,0,0,0,NA
ADCY1,,1,0,0,0,0,0,NA
ADCY2,,1,0,0,0,0,0,NA
ADCY3,,1,0,0,0,0,0,NA
ADCY4,,1,0,0,0,0,0,NA
ADCY5,,1,0,0,0,0,0,NA
ADCY6,,1,0,0,0,0,0,NA
ADCY7,,1,0,0,0,0,0,NA
ADCY8,,1,0,0,0,0,0,NA
ADCY9,,1,0,0,0,0,0,NA
ADIPOQ,,1,0,0,0,0,0,NA
ADM,,1,0,0,0,0,0,NA
ADRA1D,,1,0,0,0,0,0,NA
ADRB2,,1,0,0,0,0,0,NA
AFDN,,1,0,0,0,0,0,-1.84709964239357
AGA,,1,0,0,0,0,0,NA
AHR,,1,0,0,0,0,0,NA
AKAP5,,1,0,0,0,0,0,NA
AKT1,,1,0,0,0,0,0,-2.95493992454823
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR,,1,0,0,0,0,0,NA
AKT2,,1,0,0,0,0,0,1.22859225085675
AKT3,,1,0,0,0,0,0,-2.95493992454823
ALAS1,,1,0,0,0,0,0,NA
ALAS2,,1,0,0,0,0,0,NA
ALDH1A2,,1,0,0,0,0,0,0.32363334703697
ALDH9A1,,1,0,0,0,0,0,-0.57321434337613
ALK,,1,0,0,0,0,0,NA
ALPK1,,1,0,0,0,0,0,NA
ALPP,,1,0,0,0,0,0,NA
ANAPC1,,1,0,0,0,0,0,NA
ANGPT1,,1,0,0,0,0,0,NA
ANGPT2,,1,0,0,0,0,0,NA
ANKRD11,,1,0,0,0,0,0,NA
ANP32A,,1,0,0,0,0,0,1.03256364590887
ANXA2,,1,0,0,0,0,0,-4.72133194156379
AOC3,P,0,0,1,-1,1,-1,-7.14384926370699
AP1S2,,1,0,0,0,0,0,-2.76471820935809
APAF1,,1,0,0,0,0,0,0.879194297355019
APC,,1,0,0,0,0,0,NA
APC_AXIN1_GSK3B,,1,0,0,0,0,0,NA
APC2,,1,0,0,0,0,0,NA
APEX1,,1,0,0,0,0,0,5.13041541027257
APH1A,,1,0,0,0,0,0,NA
APLP2,,1,0,0,0,0,0,NA
APP,,1,0,0,0,0,0,-0.206216377500803
APPL1_CASP9,,1,0,0,0,0,0,NA
AR,,1,0,0,0,0,0,NA
ARAF,,1,0,0,0,0,0,2.74127582934557
ARF1,,1,0,0,0,0,0,2.85624536531978
ARF6,,1,0,0,0,0,0,-1.16348266190048
ARG1,,0,1,0,1,0,1,-1.19936419133234
ARHGDIB,,1,0,0,0,0,0,-2.54695971971757
ARHGEF7,,1,0,0,0,0,0,-0.750318129496261
ARID3A,,1,0,0,0,0,0,NA
ARID4A,,1,0,0,0,0,0,NA
ARMC10,,1,0,0,0,0,0,-2.61451543779607
ARNT,,1,0,0,0,0,0,NA
